x_c,y_c,z_c,theta_neck_pan_cmd_tminus1,theta_lower_tilt_cmd_tminus1,theta_upper_tilt_cmd_tminus1,theta_right_pan_cmd_tminus1,theta_tilt_cmd_tminus1
-0.22789831580891284,-0.22996672930098833,1.0061963142177648,0.0,0.0,0.0,-8,5
-0.16851192695671768,-0.23167100246318434,1.0062798218300235,0.0,0.0,0.0,-6,5
-0.11045424001130666,-0.23303208156201127,1.0063573726169712,0.0,0.0,0.0,-4,5
-0.06090251617345144,-0.23452605515434705,1.0064280150601541,0.0,0.0,0.0,-2,5
-0.010400475230221251,-0.23578160132782902,1.006496432920464,0.0,0.0,0.0,0,5
0.05254573298385101,-0.2363999396850849,1.0065690234704934,0.0,0.0,0.0,2,5
0.10789960192928838,-0.23751882897678966,1.0066405663167042,0.0,0.0,0.0,4,5
0.1665401970101843,-0.23936735813217414,1.0067252453645896,0.0,0.0,0.0,6,5
0.22500896053412678,-0.2402941050071375,1.006797395192739,0.0,0.0,0.0,8,5
0.27975833953682705,-0.24121290125552902,1.0068656388759682,0.0,0.0,0.0,10,5
0.3347006725587576,-0.24227577831584807,1.0069360106384222,0.0,0.0,0.0,12,5
0.4026029052038991,-0.24398724766345453,1.0070283141768865,0.0,0.0,0.0,14,5
-0.44232683510621373,-0.22340111256657932,1.0058892695793402,0.0,0.0,0.0,-14,5
-0.3569709879303742,-0.22594856419749787,1.0060106069051105,0.0,0.0,0.0,-12,5
-0.2855646228629285,-0.22763464880717912,1.0061061499356172,0.0,0.0,0.0,-10,5
-0.22720246029997526,-0.22975358560364467,1.0061941685372167,0.0,0.0,0.0,-8,5
-0.1676733896720345,-0.23135423774968594,1.0062764331841245,0.0,0.0,0.0,-6,5
-0.10907085604107314,-0.23296295877039927,1.0063578594524547,0.0,0.0,0.0,-4,5
-0.06090236783969327,-0.23443401445806533,1.0064267816866082,0.0,0.0,0.0,-2,5
-0.009942181692257246,-0.2357237084537113,1.006496125219276,0.0,0.0,0.0,0,5
0.05309911958635283,-0.23638984653839673,1.006569453522696,0.0,0.0,0.0,2,5
0.10921678147972869,-0.23763225044917657,1.0066434319697384,0.0,0.0,0.0,4,5
0.16579885377523085,-0.23932403351588294,1.006723907400229,0.0,0.0,0.0,6,5
0.22528498459050383,-0.24039200928510912,1.0067989892776261,0.0,0.0,0.0,8,5
0.28160243970912036,-0.24121878942100894,1.00686760165606,0.0,0.0,0.0,10,5
0.33548886184881654,-0.2422958855728965,1.006937085301092,0.0,0.0,0.0,12,5
0.40151460411383666,-0.24394923023795403,1.0070266928994367,0.0,0.0,0.0,14,5
-0.43983868698210105,-0.22313655251330242,1.0058882657616273,0.0,0.0,0.0,-14,5
-0.35576864204784764,-0.22595473878858766,1.0060119179304978,0.0,0.0,0.0,-12,5
-0.2861743356077946,-0.2278634130953732,1.0061085929629738,0.0,0.0,0.0,-10,5
-0.2292365361406793,-0.22958317015100058,1.0061898066977788,0.0,0.0,0.0,-8,5
-0.1689587019354979,-0.23164703316572133,1.0062790441851925,0.0,0.0,0.0,-6,5
-0.10937625036192056,-0.23307749206081882,1.0063590824422401,0.0,0.0,0.0,-4,5
-0.05980653785161005,-0.2345315833995277,1.0064292087619255,0.0,0.0,0.0,-2,5
-0.010501389858182608,-0.23568216327379873,1.0064949971655488,0.0,0.0,0.0,0,5
0.05303119017132363,-0.23643931207100508,1.00657004706316,0.0,0.0,0.0,2,5
0.10929180713882891,-0.23755481804575967,1.0066424708678592,0.0,0.0,0.0,4,5
