x_c,y_c,z_c,cmd_theta_lower_neck_pan,cmd_theta_lower_neck_tilt,cmd_theta_upper_neck_tilt,cmd_theta_left_eye,cmd_theta_tilt,state_theta_lower_neck_pan,state_theta_left_lower_neck_tilt,state_theta_right_lower_neck_tilt,state_theta_left_upper_neck_tilt,state_theta_right_upper_neck_tilt,state_theta_left_eye,state_theta_tilt
-0.28775509504475594,-0.1735723635301211,1.0376784485179082,-30,0,0,6,-5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,5.625,-4.482421875
-0.2294083715793922,-0.1710753090644368,1.0359342228000972,-30,0,0,8,-5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,7.55859375,-4.482421875
-0.17393132675371425,-0.16840548690449317,1.034350468926473,-30,0,0,10,-5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,9.4921875,-4.482421875
-0.1251575187906988,-0.16607283962470779,1.0329190384907048,-30,0,0,12,-5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,11.25,-4.482421875
-0.06495053788175675,-0.16351121719000916,1.0312121102684284,-30,0,0,14,-5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,13.271484375,-4.482421875
-100.0,-100.0,-100.0,-30,0,0,-14,-10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-13.974609375,-9.404296875
-100.0,-100.0,-100.0,-30,0,0,-12,-10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-11.953125,-9.404296875
-0.8304906937313118,-0.1518578423608902,1.0535078158310602,-30,0,0,-10,-10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-10.01953125,-9.404296875
-0.759994620601346,-0.1507162761392148,1.0514416317001654,-30,0,0,-8,-10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-7.998046875,-9.404296875
-0.6885966058022885,-0.14988728265361362,1.0493551936845864,-30,0,0,-6,-10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-6.15234375,-9.404296875
-0.6089305614614491,-0.1471810782474038,1.0471384481992942,-30,0,0,-4,-10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-4.130859375,-9.404296875
-0.5388369313523541,-0.1446556235310088,1.0450323217650925,-30,0,0,-2,-10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-2.109375,-9.404296875
-0.4790247779720271,-0.14237842393324482,1.0432261896703254,-30,0,0,0,-10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-0.263671875,-9.404296875
-0.4088502372842585,-0.1394980857026784,1.04117102471842,-30,0,0,2,-10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,1.669921875,-9.4921875
-0.3510353832735126,-0.13841911304226764,1.0395562032184134,-30,0,0,4,-10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,3.69140625,-9.404296875
-0.29083209957979006,-0.13742145171299994,1.037813637702303,-30,0,0,6,-10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,5.625,-9.404296875
-0.2326080689143767,-0.13594406887776228,1.0361972881940997,-30,0,0,8,-10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,7.55859375,-9.404296875
-0.17432030511876084,-0.13424131791553637,1.0344953207736316,-30,0,0,10,-10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,9.4921875,-9.404296875
-0.12479318824668317,-0.13334021680595526,1.0330083802075964,-30,0,0,12,-10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,11.25,-9.404296875
-0.06687584288099213,-0.13163711694494373,1.0313566563393632,-30,0,0,14,-10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,13.271484375,-9.404296875
-100.0,-100.0,-100.0,-30,0,0,-14,-15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-13.88671875,-14.326171875
-100.0,-100.0,-100.0,-30,0,0,-12,-15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-12.041015625,-14.326171875
-0.8421392113631576,-0.103742133747424,1.0539392182462495,-30,0,0,-10,-15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-9.931640625,-14.4140625
-0.7627767314391034,-0.10351010723464682,1.0516581232788866,-30,0,0,-8,-15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-7.998046875,-14.326171875
-0.689606392124741,-0.10434797600774177,1.0495795368425902,-30,0,0,-6,-15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-6.064453125,-14.4140625
-0.6124879750833658,-0.10419345327809419,1.0472748635367959,-30,0,0,-4,-15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-4.04296875,-14.4140625
-0.5374938447465922,-0.10247686320987125,1.0451573980396236,-30,0,0,-2,-15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-2.021484375,-14.326171875
-0.4809627194524482,-0.10088802306980249,1.043492434088071,-30,0,0,0,-15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-0.263671875,-14.326171875
-0.4102648038032264,-0.09962473056869679,1.0415118199064208,-30,0,0,2,-15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,1.7578125,-14.326171875
-0.3524867772368827,-0.0994472686498895,1.0397443377574533,-30,0,0,4,-15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,3.603515625,-14.4140625
-0.29078490107884236,-0.09884102982438962,1.0379379065451824,-30,0,0,6,-15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,5.625,-14.4140625
-0.2319972181800607,-0.09830358611755405,1.0362812847802731,-30,0,0,8,-15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,7.55859375,-14.4140625
-0.17525064757778996,-0.097777921535277,1.0346298932526388,-30,0,0,10,-15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,9.4921875,-14.4140625
-0.12621769225866697,-0.09765172108735501,1.0332179868717495,-30,0,0,12,-15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,11.25,-14.4140625
